PARCEL,ABSTRPRD,BOOK,PAGE,RECNUM,SPRICE,DEDUCT,NETPRICE,SYEAR,SMONTH,SDAY,QUALIFIED,VERIFIED,STATUS,DISQLCD,TASP,PROPFLAG,TAXAREA,SCHDIST,CURRLND,CDISLND,IMCURRP,CURRTOT,SalesRatio,USETYPE
R0016411,100.0,,,718730,5999,0,5999,2019,6,7,Q,Y,V,989.0,15057.49,Vacant Land,37,RE-2 SCHOOL DIST,19972,19972,0,19972,1.3263830824393708,VACANT LAND
R0011463,100.0,,,743106,291000,0,291000,2021,9,23,U,Y,I,64.0,291000.0,Vacant Land,29,RE-2 SCHOOL DIST,20763,20763,0,20763,0.07135051546391753,VACANT LAND
R0009354,100.0,,,722190,8500,0,8500,2019,12,30,Q,Y,V,975.0,18870.0,Vacant Land,13,RE-1 SCHOOL DIST,20740,20740,0,20740,1.0990990990990992,VACANT LAND
R0016928,100.0,,,722785,6500,0,6500,2019,11,4,U,Y,V,74.0,6500.0,Vacant Land,37,RE-2 SCHOOL DIST,22843,22843,0,22843,3.514307692307692,VACANT LAND
R0005893,100.0,,,728400,50000,0,50000,2020,8,14,U,Y,V,975.0,50000.0,Vacant Land,14,RE-1 SCHOOL DIST,96473,96473,395939,492412,9.84824,VACANT LAND
R0009786,100.0,,,728633,228000,0,228000,2020,8,21,U,Y,I,64.0,228000.0,Vacant Land,13,RE-1 SCHOOL DIST,19639,19639,0,19639,0.0861359649122807,VACANT LAND
R0019934,100.0,,,708391,110000,0,110000,2018,7,6,U,Y,I,17.0,110000.0,Vacant Land,40,RE-1 SCHOOL DIST,12999,12999,26138,39137,0.3557909090909091,VACANT LAND
R0047318,1112.0,,,722016,485000,0,485000,2019,12,20,Q,Y,I,,717800.0,Residential,60,RE-2 SCHOOL DIST,56678,56678,706749,763427,1.0635650599052662,RESIDENTIAL
R0014612,1112.0,,,722044,285000,0,285000,2019,12,18,Q,Y,I,,433200.0,Residential,37,RE-2 SCHOOL DIST,88909,88909,336190,425099,0.9812996306555863,RESIDENTIAL
R0015305,1112.0,,,722173,215000,0,215000,2019,12,24,U,Y,I,17.0,221450.0,Residential,30,RE-2 SCHOOL DIST,21619,21619,283599,305218,1.3782704899525853,RESIDENTIAL
R0053443,1112.0,,,722624,262400,0,262400,2020,1,10,U,Y,I,984.0,262400.0,Residential,30,RE-2 SCHOOL DIST,63594,63594,325311,388905,1.4821074695121952,RESIDENTIAL
R0020989,1112.0,,,701854,25000,0,25000,2017,10,18,U,Y,I,103.0,25000.0,Residential,50,RE-1 SCHOOL DIST,2895,2895,78873,81768,3.27072,RESIDENTIAL
R0013085,1112.0,,,702028,625000,0,625000,2017,10,27,U,Y,I,68.0,625000.0,Residential,30,RE-2 SCHOOL DIST,322061,322061,444746,766807,1.2268912,RESIDENTIAL
R0017324,1112.0,,,702030,265000,0,265000,2017,10,13,U,Y,I,17.0,280237.5,Residential,31,RE-2 SCHOOL DIST,36802,36802,433021,469823,1.676517239841206,RESIDENTIAL
R0012705,1112.0,,,740969,375000,0,375000,2021,7,13,Q,Y,I,,435000.0,Residential,37,RE-2 SCHOOL DIST,86306,86306,334848,421154,0.9681701149425287,RESIDENTIAL
R0003524,1112.0,,,741808,90000,0,90000,2021,8,13,U,Y,I,64.0,90000.0,Residential,10,RE-1 SCHOOL DIST,66692,66692,248642,315334,3.503711111111111,RESIDENTIAL
R0011422,1112.0,,,741820,495000,0,495000,2021,8,16,U,Y,I,64.0,495000.0,Residential,29,RE-2 SCHOOL DIST,33264,33264,566163,599427,1.2109636363636365,RESIDENTIAL
R0021697,1112.0,,,741830,408000,0,408000,2021,8,13,U,Y,I,17.0,408000.0,Residential,60,RE-2 SCHOOL DIST,100383,100383,392273,492656,1.2074901960784314,RESIDENTIAL
R0016878,1112.0,,,741955,270000,0,270000,2021,8,2,Q,Y,I,,307800.0,Residential,37,RE-2 SCHOOL DIST,19389,19389,272031,291420,0.9467836257309942,RESIDENTIAL
R0017152,1112.0,,,703369,342150,0,342150,2017,12,21,Q,Y,I,,396894.0,Residential,31,RE-2 SCHOOL DIST,45312,45312,509558,554870,1.398030708451123,RESIDENTIAL
R0013647,1112.0,,,703517,155000,0,155000,2017,12,29,U,Y,I,68.0,155000.0,Residential,30,RE-2 SCHOOL DIST,157212,157212,183124,340336,2.195716129032258,RESIDENTIAL
R0023129,1112.0,,,703533,239000,0,239000,2018,1,2,Q,Y,I,,274850.0,Residential,60,RE-2 SCHOOL DIST,37901,37901,314982,352883,1.283911224304166,RESIDENTIAL
R0018559,1112.0,,,703709,194900,0,194900,2018,1,3,U,Y,I,17.0,201838.44,Residential,39,RE-2 SCHOOL DIST,21935,21935,346441,368376,1.8251032855783071,RESIDENTIAL
R0054290,1112.0,,,703798,349500,0,349500,2018,1,10,U,Y,I,641.0,349500.0,Residential,60,RE-2 SCHOOL DIST,149776,149776,444324,594100,1.699856938483548,RESIDENTIAL
R0054320,1112.0,,,703798,349500,0,349500,2018,1,10,U,Y,I,641.0,349500.0,Residential,62,RE-2 SCHOOL DIST,15923,15923,0,15923,0.04555937052932761,RESIDENTIAL
R0056171,510.0,,,704267,151000,0,151000,2018,1,31,U,Y,V,64.0,151000.0,Vacant Land,10,RE-1 SCHOOL DIST,1424,1424,0,1424,0.00943046357615894,VACANT LAND
R0018077,1112.0,,,704327,177000,0,177000,2018,2,2,U,Y,I,17.0,203550.0,Residential,36,RE-2 SCHOOL DIST,40129,40129,288006,328135,1.6120609186931958,RESIDENTIAL
R0021755,1112.0,,,704450,674000,0,674000,2018,2,8,Q,Y,I,681.0,775100.0,Residential,60,RE-2 SCHOOL DIST,118817,118817,865779,984596,1.2702825441878467,RESIDENTIAL
R0021526,1112.0,,,744192,305000,0,305000,2021,10,20,Q,Y,I,,338550.0,Residential,60,RE-2 SCHOOL DIST,48472,48472,288343,336815,0.9948752030719243,RESIDENTIAL
R0015611,1112.0,,,744704,450000,0,450000,2021,10,22,Q,Y,I,68.0,499500.0,Residential,30,RE-2 SCHOOL DIST,30752,30752,422789,453541,0.90798998998999,RESIDENTIAL
R0013459,1112.0,,,744735,122565,0,122565,2021,10,22,U,Y,I,988.0,122565.0,Residential,30,RE-2 SCHOOL DIST,50057,50057,142189,192246,1.568522824623669,RESIDENTIAL
R0021131,1112.0,,,704518,69000,0,69000,2018,2,9,Q,Y,I,,91080.0,Residential,50,RE-1 SCHOOL DIST,4305,4305,235537,239842,2.6333113746157224,RESIDENTIAL
R0018818,1112.0,,,704569,379000,0,379000,2018,2,14,Q,Y,I,681.0,435850.0,Residential,39,RE-2 SCHOOL DIST,88294,88294,435220,523514,1.2011334174601354,RESIDENTIAL
R0056281,1112.0,,,747268,985000,0,985000,2022,1,27,Q,Y,I,681.0,1053950.0,Residential,29,RE-2 SCHOOL DIST,232092,232092,681485,913577,0.8668124673846008,RESIDENTIAL
R0008982,1112.0,,,747957,296000,0,296000,2022,2,18,Q,Y,I,,313760.0,Residential,13,RE-1 SCHOOL DIST,26238,26238,285806,312044,0.9945308516063233,RESIDENTIAL
R0015952,1112.0,,,709147,215000,3000,212000,2018,8,2,Q,Y,I,103.0,345560.0,Residential,85,RE-2 SCHOOL DIST,25824,25824,387033,412857,1.1947476559787011,RESIDENTIAL
R0015317,1112.0,,,709453,180000,0,180000,2018,8,15,U,Y,I,17.0,180000.0,Residential,30,RE-2 SCHOOL DIST,23457,23457,355151,378608,2.103377777777778,RESIDENTIAL
R0011686,1112.0,,,709527,460000,0,460000,2018,8,17,Q,Y,I,681.0,749800.0,Residential,29,RE-2 SCHOOL DIST,157480,157480,501363,658843,0.8786916511069619,RESIDENTIAL
R0019278,1112.0,,,709708,350000,0,350000,2018,8,24,U,Y,I,73.0,350000.0,Residential,39,RE-2 SCHOOL DIST,74001,74001,365906,439907,1.2568771428571428,RESIDENTIAL
R0017490,1112.0,,,709712,399900,0,399900,2018,8,24,Q,Y,I,,651837.0,Residential,31,RE-2 SCHOOL DIST,32502,32502,484396,516898,0.7929865902058336,RESIDENTIAL
R0018332,1112.0,,,710328,360000,0,360000,2018,9,18,U,Y,I,17.0,360000.0,Residential,39,RE-2 SCHOOL DIST,140659,140659,378389,519048,1.4418,RESIDENTIAL
R0018611,1112.0,,,745016,140000,0,140000,2021,11,15,U,Y,I,988.0,140000.0,Residential,39,RE-2 SCHOOL DIST,17472,17472,208281,225753,1.6125214285714287,RESIDENTIAL
R0013460,1112.0,,,745800,450000,0,450000,2021,10,22,Q,Y,I,975.0,499500.0,Residential,30,RE-2 SCHOOL DIST,50955,50955,413244,464199,0.9293273273273274,RESIDENTIAL
R0014121,1112.0,,,707804,350000,0,350000,2018,6,21,U,Y,I,57.0,350000.0,Residential,30,RE-2 SCHOOL DIST,99655,99655,644879,744534,2.12724,RESIDENTIAL
R0017295,1112.0,,,708066,339000,0,339000,2018,6,28,Q,Y,I,,379680.0,Residential,31,RE-2 SCHOOL DIST,48925,48925,481425,530350,1.3968341761483354,RESIDENTIAL
R0021401,1112.0,,,708319,120000,0,120000,2018,7,5,U,Y,I,17.0,138000.0,Residential,50,RE-1 SCHOOL DIST,7039,7039,269715,276754,2.005463768115942,RESIDENTIAL
R0015996,1112.0,,,708385,326000,0,326000,2018,7,6,Q,Y,I,,534640.0,Residential,85,RE-2 SCHOOL DIST,26911,26911,498040,524951,0.9818775250635942,RESIDENTIAL
R0055097,1112.0,,,708603,300000,0,300000,2018,7,13,U,Y,I,17.0,300000.0,Residential,37,RE-2 SCHOOL DIST,56697,56697,456652,513349,1.7111633333333334,RESIDENTIAL
R0021108,1112.0,,,708622,37500,0,37500,2018,7,13,U,Y,I,64.0,37500.0,Residential,50,RE-1 SCHOOL DIST,2895,2895,50528,53423,1.4246133333333333,RESIDENTIAL
R0021109,1112.0,,,708622,37500,0,37500,2018,7,13,U,Y,I,64.0,37500.0,Residential,50,RE-1 SCHOOL DIST,3455,3455,80201,83656,2.2308266666666667,RESIDENTIAL
R0043612,1112.0,,,708725,125000,0,125000,2018,7,19,U,Y,I,986.0,125000.0,Residential,37,RE-2 SCHOOL DIST,68011,68011,314209,382220,3.05776,RESIDENTIAL
R0016497,1112.0,,,708868,205000,0,205000,2018,7,23,Q,Y,I,,336200.0,Residential,33,RE-2 SCHOOL DIST,16724,16724,339771,356495,1.0603658536585365,RESIDENTIAL
R0019897,1112.0,,,748171,240000,0,240000,2022,2,25,Q,Y,I,,259200.0,Residential,40,RE-1 SCHOOL DIST,25369,25369,209158,234527,0.9048109567901235,RESIDENTIAL
R0044124,1112.0,,,748302,377750,0,377750,2022,3,3,Q,Y,I,,392860.0,Residential,60,RE-2 SCHOOL DIST,24978,24978,353929,378907,0.9644835310288652,RESIDENTIAL
R0020085,1112.0,,,748333,390000,0,390000,2022,3,2,Q,Y,I,,413400.0,Residential,40,RE-1 SCHOOL DIST,29287,29287,358596,387883,0.9382752781809386,RESIDENTIAL
R0014440,1112.0,,,748733,485000,0,485000,2022,3,17,Q,Y,I,,504400.0,Residential,30,RE-2 SCHOOL DIST,85465,85465,415695,501160,0.9935765265662173,RESIDENTIAL
R0044121,1112.0,,,748784,356000,0,356000,2022,3,18,Q,Y,I,,370240.0,Residential,60,RE-2 SCHOOL DIST,25018,25018,351412,376430,1.0167188850475368,RESIDENTIAL
R0044064,1112.0,,,727736,149000,0,149000,2020,7,24,U,Y,I,64.0,149000.0,Residential,10,RE-1 SCHOOL DIST,75623,75623,79446,155069,1.040731543624161,RESIDENTIAL
R0022446,1112.0,,,722350,339000,0,339000,2020,1,8,Q,Y,I,57.0,498330.0,Residential,60,RE-2 SCHOOL DIST,84343,84343,418646,502989,1.0093492264162303,RESIDENTIAL
R0018502,1112.0,,,723107,80000,0,80000,2020,2,5,U,Y,I,75.0,80000.0,Residential,39,RE-2 SCHOOL DIST,37908,37908,143268,181176,2.2647,RESIDENTIAL
R0056582,1112.0,,,700794,343000,0,343000,2017,9,13,Q,Y,I,,411600.0,Residential,29,RE-2 SCHOOL DIST,151149,151149,443645,594794,1.445077745383868,RESIDENTIAL
R0016348,1112.0,,,701061,297250,0,297250,2017,9,22,U,Y,I,17.0,316571.25,Residential,37,RE-2 SCHOOL DIST,15934,15934,455725,471659,1.4898984035979261,RESIDENTIAL
R0005578,1112.0,,,701070,265000,0,265000,2017,9,22,Q,Y,I,,318000.0,Residential,14,RE-1 SCHOOL DIST,13698,13698,477500,491198,1.5446477987421383,RESIDENTIAL
R0010685,1112.0,,,701124,315000,0,315000,2017,9,25,U,Y,I,681.0,342562.5,Residential,29,RE-2 SCHOOL DIST,142255,142255,398939,541194,1.57984017515052,RESIDENTIAL
R0023161,1112.0,,,701251,250000,0,250000,2017,9,29,Q,Y,I,,300000.0,Residential,60,RE-2 SCHOOL DIST,45240,45240,323429,368669,1.2288966666666667,RESIDENTIAL
R0007071,1112.0,,,701607,226000,0,226000,2017,10,11,U,Y,I,17.0,238995.0,Residential,13,RE-1 SCHOOL DIST,122919,122919,248844,371763,1.5555262662398794,RESIDENTIAL
R0013688,1112.0,,,701881,352000,0,352000,2017,10,24,U,Y,I,73.0,372240.0,Residential,30,RE-2 SCHOOL DIST,41276,41276,544831,586107,1.5745406189555127,RESIDENTIAL
R0017908,1112.0,,,741034,1010000,0,1010000,2021,7,28,Q,Y,I,,1161500.0,Residential,36,RE-2 SCHOOL DIST,104982,104982,901917,1006899,0.8668953938872148,RESIDENTIAL
R0022612,1112.0,,,741218,360000,0,360000,2021,7,29,Q,Y,I,681.0,414000.0,Residential,60,RE-2 SCHOOL DIST,45328,45328,344435,389763,0.9414565217391304,RESIDENTIAL
R0017136,1112.0,,,741478,325000,0,325000,2021,8,6,U,Y,I,970.0,325000.0,Residential,31,RE-2 SCHOOL DIST,44504,44504,313670,358174,1.1020738461538462,RESIDENTIAL
R0015146,1112.0,,,741826,277300,0,277300,2021,8,17,Q,Y,I,,316122.0,Residential,30,RE-2 SCHOOL DIST,27130,27130,285781,312911,0.9898425291501383,RESIDENTIAL
