PARCEL,ABSTRPRD,BOOK,PAGE,RECNUM,SPRICE,DEDUCT,NETPRICE,SYEAR,SMONTH,SDAY,QUALIFIED,VERIFIED,STATUS,DISQLCD,TASP,PROPFLAG,TAXAREA,SCHDIST,CURRLND,CDISLND,IMCURRP,CURRTOT,SalesRatio,USETYPE
R0007373,100.0,,,699300,17000,0,17000,2017,7,20,Q,Y,V,,34000.0,Vacant Land,13,RE-1 SCHOOL DIST,30313,30313,0,30313,0.8915588235294117,VACANT LAND
R0008726,100.0,,,740214,500,0,500,2021,7,2,U,Y,V,1.0,500.0,Vacant Land,13,RE-1 SCHOOL DIST,20235,20235,0,20235,40.47,VACANT LAND
R0046226,100.0,,,740576,55000,0,55000,2021,7,12,Q,Y,V,,70400.0,Vacant Land,19,RE-2 SCHOOL DIST,68952,68952,0,68952,0.9794318181818182,VACANT LAND
R0013148,100.0,,,740680,44900,0,44900,2021,7,12,Q,Y,V,,57472.0,Vacant Land,37,RE-2 SCHOOL DIST,78042,78042,0,78042,1.3579134187082404,VACANT LAND
R0008358,100.0,,,738909,19500,0,19500,2021,5,28,U,Y,V,64.0,19500.0,Vacant Land,13,RE-1 SCHOOL DIST,16245,16245,0,16245,0.833076923076923,VACANT LAND
R0008840,100.0,,,738909,19500,0,19500,2021,5,28,U,Y,V,64.0,19500.0,Vacant Land,13,RE-1 SCHOOL DIST,17125,17125,0,17125,0.8782051282051282,VACANT LAND
R0009332,100.0,,,738909,19500,0,19500,2021,5,28,U,Y,V,64.0,19500.0,Vacant Land,13,RE-1 SCHOOL DIST,15012,15012,0,15012,0.7698461538461538,VACANT LAND
R0010156,100.0,,,738909,19500,0,19500,2021,5,28,U,Y,V,64.0,19500.0,Vacant Land,22,RE-2 SCHOOL DIST,16741,16741,0,16741,0.8585128205128205,VACANT LAND
R0020341,100.0,,,724542,180000,0,180000,2020,4,3,U,Y,V,64.0,180000.0,Vacant Land,40,RE-1 SCHOOL DIST,10879,10879,0,10879,0.06043888888888889,VACANT LAND
R0020353,100.0,,,724542,180000,0,180000,2020,4,3,U,Y,V,64.0,180000.0,Vacant Land,40,RE-1 SCHOOL DIST,18850,18850,0,18850,0.10472222222222222,VACANT LAND
R0020354,100.0,,,724542,180000,0,180000,2020,4,3,U,Y,V,64.0,180000.0,Vacant Land,40,RE-1 SCHOOL DIST,18850,18850,0,18850,0.10472222222222222,VACANT LAND
R0055375,100.0,,,724542,180000,0,180000,2020,4,3,U,Y,V,64.0,180000.0,Vacant Land,40,RE-1 SCHOOL DIST,9696,9696,0,9696,0.05386666666666667,VACANT LAND
R0012074,100.0,,,730393,85000,0,85000,2020,10,5,U,Y,V,661.0,85000.0,Vacant Land,37,RE-2 SCHOOL DIST,78964,78964,1409,80373,0.945564705882353,VACANT LAND
R0021352,100.0,,,730439,7500,0,7500,2020,10,7,U,Y,I,103.0,7500.0,Vacant Land,50,RE-1 SCHOOL DIST,1992,1992,211,2203,0.29373333333333335,VACANT LAND
R0013668,100.0,,,730631,54000,0,54000,2020,10,12,Q,Y,V,,83160.0,Vacant Land,30,RE-2 SCHOOL DIST,83485,83485,0,83485,1.0039081289081289,VACANT LAND
R0005842,100.0,,,730714,550000,0,550000,2020,10,14,U,Y,I,64.0,550000.0,Vacant Land,14,RE-1 SCHOOL DIST,69592,69592,0,69592,0.12653090909090908,VACANT LAND
R0023207,100.0,,,737337,125000,0,125000,2021,4,13,Q,Y,V,,216250.0,Vacant Land,60,RE-2 SCHOOL DIST,166419,166419,0,166419,0.7695676300578035,VACANT LAND
R0046979,100.0,,,739639,105000,0,105000,2021,6,18,U,Y,V,,168000.0,Vacant Land,60,RE-2 SCHOOL DIST,151297,151297,406280,557577,3.3189107142857144,VACANT LAND
R0053409,100.0,,,739827,59900,0,59900,2021,6,24,Q,Y,V,,95840.0,Vacant Land,60,RE-2 SCHOOL DIST,91359,91359,0,91359,0.9532449916527546,VACANT LAND
R0023221,100.0,,,726782,132231,0,132231,2020,6,30,Q,Y,V,,257850.45,Vacant Land,60,RE-2 SCHOOL DIST,179044,179044,0,179044,0.6943714854870332,VACANT LAND
R0005376,100.0,,,727053,7500,0,7500,2020,7,7,Q,Y,V,975.0,16575.0,Vacant Land,14,RE-1 SCHOOL DIST,19537,19537,0,19537,1.1787028657616894,VACANT LAND
R0016666,100.0,,,727548,325000,0,325000,2020,6,5,U,Y,I,17.0,325000.0,Vacant Land,37,RE-2 SCHOOL DIST,30767,30767,0,30767,0.09466769230769231,VACANT LAND
R0012786,100.0,,,736652,10000,0,10000,2021,3,31,U,Y,V,17.0,10000.0,Vacant Land,37,RE-2 SCHOOL DIST,46418,46418,0,46418,4.6418,VACANT LAND
R0010298,100.0,,,736701,13400,0,13400,2021,3,31,Q,Y,V,989.0,18894.0,Vacant Land,22,RE-2 SCHOOL DIST,17207,17207,0,17207,0.9107123954694613,VACANT LAND
R0012970,100.0,,,736765,48000,0,48000,2021,3,30,Q,Y,V,,67680.0,Vacant Land,37,RE-2 SCHOOL DIST,76432,76432,0,76432,1.1293144208037824,VACANT LAND
R0006491,100.0,,,736821,10900,0,10900,2021,2,26,Q,Y,V,989.0,17549.0,Vacant Land,13,RE-1 SCHOOL DIST,15233,15233,0,15233,0.8680266681862214,VACANT LAND
R0014679,100.0,,,736866,40000,0,40000,2021,3,15,U,Y,V,81.0,56260.0,Vacant Land,37,RE-2 SCHOOL DIST,40028,40028,0,40028,0.7114824031283328,VACANT LAND
R0008376,100.0,,,737212,37500,0,37500,2021,4,15,U,Y,V,64.0,37500.0,Vacant Land,13,RE-1 SCHOOL DIST,14386,14386,0,14386,0.38362666666666667,VACANT LAND
R0009134,100.0,,,737212,37500,0,37500,2021,4,15,U,Y,V,64.0,37500.0,Vacant Land,13,RE-1 SCHOOL DIST,15047,15047,0,15047,0.40125333333333335,VACANT LAND
R0007291,100.0,,,706108,60000,0,60000,2018,4,9,U,Y,V,64.0,60000.0,Vacant Land,13,RE-1 SCHOOL DIST,55808,55808,0,55808,0.9301333333333334,VACANT LAND
R0007292,100.0,,,706108,60000,0,60000,2018,4,9,U,Y,V,64.0,60000.0,Vacant Land,13,RE-1 SCHOOL DIST,38635,38635,0,38635,0.6439166666666667,VACANT LAND
R0007296,100.0,,,706108,60000,0,60000,2018,4,9,U,Y,V,64.0,60000.0,Vacant Land,13,RE-1 SCHOOL DIST,43794,43794,0,43794,0.7299,VACANT LAND
R0008445,100.0,,,706459,12500,0,12500,2018,4,30,Q,Y,V,975.0,27750.0,Vacant Land,13,RE-1 SCHOOL DIST,23635,23635,0,23635,0.8517117117117117,VACANT LAND
R0009769,100.0,,,742350,22000,0,22000,2021,8,31,Q,Y,V,989.0,29480.0,Vacant Land,13,RE-1 SCHOOL DIST,28636,28636,0,28636,0.971370420624152,VACANT LAND
R0008748,100.0,,,742534,8000,0,8000,2021,8,14,Q,Y,V,989.0,10720.0,Vacant Land,13,RE-1 SCHOOL DIST,15978,15978,0,15978,1.4904850746268656,VACANT LAND
R0009661,100.0,,,734986,10999,0,10999,2020,4,3,U,Y,V,989.0,10999.0,Vacant Land,13,RE-1 SCHOOL DIST,19219,19219,4161,23380,2.1256477861623786,VACANT LAND
R0023635,100.0,,,735018,95000,0,95000,2021,2,12,Q,Y,V,,177650.0,Vacant Land,62,RE-2 SCHOOL DIST,177933,177933,0,177933,1.001593019983113,VACANT LAND
R0006623,100.0,,,735604,12800,0,12800,2020,4,20,U,Y,V,989.0,12800.0,Vacant Land,13,RE-1 SCHOOL DIST,18158,18158,0,18158,1.41859375,VACANT LAND
R0019595,100.0,,,735746,260000,0,260000,2021,3,5,U,Y,I,64.0,260000.0,Vacant Land,40,RE-1 SCHOOL DIST,18610,18610,0,18610,0.07157692307692308,VACANT LAND
R0008444,100.0,,,736049,13143,0,13143,2021,3,15,Q,Y,V,989.0,20503.08,Vacant Land,13,RE-1 SCHOOL DIST,26803,26803,0,26803,1.3072670057376745,VACANT LAND
R0009263,100.0,,,736333,13800,0,13800,2019,8,21,U,Y,V,985.0,13800.0,Vacant Land,13,RE-1 SCHOOL DIST,18803,18803,0,18803,1.362536231884058,VACANT LAND
R0008423,100.0,,,734440,8000,0,8000,2021,1,29,Q,Y,V,,13200.0,Vacant Land,13,RE-1 SCHOOL DIST,16976,16976,0,16976,1.2860606060606061,VACANT LAND
R0008270,100.0,,,700787,32000,0,32000,2017,9,8,U,Y,V,101.0,32000.0,Vacant Land,13,RE-1 SCHOOL DIST,35822,35822,348353,384175,12.00546875,VACANT LAND
R0018304,100.0,,,701661,35000,0,35000,2017,10,13,U,Y,V,975.0,35000.0,Vacant Land,39,RE-2 SCHOOL DIST,140791,140791,0,140791,4.0226,VACANT LAND
R0008470,100.0,,,702008,10500,0,10500,2017,10,26,U,Y,V,74.0,11760.0,Vacant Land,13,RE-1 SCHOOL DIST,18947,18947,0,18947,1.6111394557823129,VACANT LAND
R0018174,100.0,,,741100,245000,0,245000,2021,7,28,Q,Y,V,,377300.0,Vacant Land,39,RE-2 SCHOOL DIST,322837,322837,0,322837,0.8556506758547575,VACANT LAND
R0057245,100.0,,,741495,65010,0,65010,2021,8,6,U,Y,V,74.0,65010.0,Vacant Land,60,RE-2 SCHOOL DIST,62181,62181,0,62181,0.9564836179049377,VACANT LAND
R0016138,100.0,,,699221,57000,0,57000,2017,7,17,U,Y,V,101.0,57000.0,Vacant Land,37,RE-2 SCHOOL DIST,42145,42145,478181,520326,9.128526315789474,VACANT LAND
R0008294,100.0,,,699395,6000,0,6000,2017,7,19,U,Y,V,103.0,6000.0,Vacant Land,13,RE-1 SCHOOL DIST,43205,43205,6871,50076,8.346,VACANT LAND
R0005366,100.0,,,699423,10700,0,10700,2017,7,24,Q,Y,V,,26857.0,Vacant Land,14,RE-1 SCHOOL DIST,17941,17941,0,17941,0.6680195107420784,VACANT LAND
R0006268,100.0,,,739037,90000,0,90000,2021,6,2,U,Y,V,64.0,90000.0,Vacant Land,14,RE-1 SCHOOL DIST,52645,52645,0,52645,0.5849444444444445,VACANT LAND
R0006269,100.0,,,739037,90000,0,90000,2021,6,2,U,Y,V,64.0,90000.0,Vacant Land,14,RE-1 SCHOOL DIST,52645,52645,0,52645,0.5849444444444445,VACANT LAND
R0024484,100.0,,,723924,20000,0,20000,2020,3,9,Q,Y,V,,33800.0,Vacant Land,80,RE-2 SCHOOL DIST,21573,21573,0,21573,0.6382544378698225,VACANT LAND
R0005272,100.0,,,724227,3000,0,3000,2020,3,16,U,Y,V,985.0,3000.0,Vacant Land,14,RE-1 SCHOOL DIST,19694,19694,0,19694,6.564666666666667,VACANT LAND
R0005319,100.0,,,724280,6000,0,6000,2020,3,24,Q,Y,V,,14400.0,Vacant Land,14,RE-1 SCHOOL DIST,15571,15571,0,15571,1.0813194444444445,VACANT LAND
R0048258,100.0,,,724789,20300,0,20300,2020,4,14,U,Y,V,64.0,20300.0,Vacant Land,37,RE-2 SCHOOL DIST,20525,20525,484267,504792,24.866600985221673,VACANT LAND
R0048259,100.0,,,724789,20300,0,20300,2020,4,14,U,Y,V,64.0,20300.0,Vacant Land,37,RE-2 SCHOOL DIST,18746,18746,0,18746,0.923448275862069,VACANT LAND
R0009531,100.0,,,737489,17000,0,17000,2021,4,14,U,Y,V,57.0,17000.0,Vacant Land,13,RE-1 SCHOOL DIST,22818,22818,0,22818,1.342235294117647,VACANT LAND
R0013338,100.0,,,737826,55000,0,55000,2021,4,26,Q,Y,V,,75900.0,Vacant Land,37,RE-2 SCHOOL DIST,47551,47551,0,47551,0.6264953886693018,VACANT LAND
R0009930,100.0,,,737872,25000,0,25000,2021,5,3,U,Y,V,64.0,25000.0,Vacant Land,22,RE-2 SCHOOL DIST,11824,11824,0,11824,0.47296,VACANT LAND
R0009931,100.0,,,737872,25000,0,25000,2021,5,3,U,Y,V,64.0,25000.0,Vacant Land,22,RE-2 SCHOOL DIST,11266,11266,0,11266,0.45064,VACANT LAND
R0004688,100.0,,,737965,50000,0,50000,2021,5,5,U,Y,V,64.0,50000.0,Vacant Land,14,RE-1 SCHOOL DIST,22677,22677,0,22677,0.45354,VACANT LAND
R0004689,100.0,,,737965,50000,0,50000,2021,5,5,U,Y,V,64.0,50000.0,Vacant Land,14,RE-1 SCHOOL DIST,22147,22147,0,22147,0.44294,VACANT LAND
R0004692,100.0,,,737965,50000,0,50000,2021,5,5,U,Y,V,64.0,50000.0,Vacant Land,14,RE-1 SCHOOL DIST,21836,21836,0,21836,0.43672,VACANT LAND
R0004645,100.0,,,738042,14000,0,14000,2021,5,10,U,Y,V,975.0,14000.0,Vacant Land,14,RE-1 SCHOOL DIST,20798,20798,0,20798,1.4855714285714285,VACANT LAND
R0004873,100.0,,,738051,12500,0,12500,2021,5,7,Q,Y,V,987.0,20875.0,Vacant Land,14,RE-1 SCHOOL DIST,21342,21342,0,21342,1.0223712574850299,VACANT LAND
R0009506,100.0,,,730769,8000,0,8000,2020,10,15,Q,Y,V,74.0,14240.0,Vacant Land,13,RE-1 SCHOOL DIST,22304,22304,0,22304,1.5662921348314607,VACANT LAND
R0008256,100.0,,,731370,39500,0,39500,2020,10,30,U,Y,V,73.0,39500.0,Vacant Land,13,RE-1 SCHOOL DIST,35445,35445,27312,62757,1.5887848101265822,VACANT LAND
R0007327,100.0,,,731593,25000,0,25000,2020,10,28,Q,Y,V,57.0,38500.0,Vacant Land,13,RE-1 SCHOOL DIST,33850,33850,0,33850,0.8792207792207792,VACANT LAND
R0007787,100.0,,,739636,47000,0,47000,2021,6,18,U,Y,V,975.0,47000.0,Vacant Land,13,RE-1 SCHOOL DIST,58488,58488,0,58488,1.2444255319148936,VACANT LAND
R0009778,100.0,,,740021,13000,0,13000,2021,6,29,Q,Y,V,,18590.0,Vacant Land,13,RE-1 SCHOOL DIST,24759,24759,0,24759,1.3318450779989242,VACANT LAND
R0016404,100.0,,,727675,8500,0,8500,2020,7,21,Q,Y,V,74.0,18785.0,Vacant Land,37,RE-2 SCHOOL DIST,19011,19011,0,19011,1.0120308756986958,VACANT LAND
R0056258,100.0,,,727694,70000,0,70000,2020,7,24,Q,Y,V,,112000.0,Vacant Land,10,RE-1 SCHOOL DIST,119412,119412,0,119412,1.0661785714285714,VACANT LAND
R0053327,100.0,,,732123,41000,0,41000,2020,11,19,Q,Y,V,,61910.0,Vacant Land,13,RE-1 SCHOOL DIST,45995,45995,0,45995,0.742933290260055,VACANT LAND
R0006228,100.0,,,732869,25000,0,25000,2020,12,11,U,Y,V,918.0,25000.0,Vacant Land,14,RE-1 SCHOOL DIST,59815,59815,0,59815,2.3926,VACANT LAND
R0013237,100.0,,,732989,134000,0,134000,2020,12,16,U,Y,V,661.0,134000.0,Vacant Land,37,RE-2 SCHOOL DIST,91870,91870,3217,95087,0.7096044776119403,VACANT LAND
R0009496,100.0,,,733050,32500,0,32500,2020,12,18,U,Y,V,64.0,32500.0,Vacant Land,13,RE-1 SCHOOL DIST,17787,17787,0,17787,0.5472923076923077,VACANT LAND
R0009497,100.0,,,733050,32500,0,32500,2020,12,18,U,Y,V,64.0,32500.0,Vacant Land,13,RE-1 SCHOOL DIST,20235,20235,0,20235,0.6226153846153846,VACANT LAND
R0010110,100.0,,,733203,11000,0,11000,2020,11,30,Q,Y,V,,16610.0,Vacant Land,22,RE-2 SCHOOL DIST,16636,16636,0,16636,1.0015653220951235,VACANT LAND
R0006424,100.0,,,725445,5000,0,5000,2020,3,2,U,Y,V,64.0,5000.0,Vacant Land,12,RE-1 SCHOOL DIST,15828,15828,0,15828,3.1656,VACANT LAND
R0010291,100.0,,,725445,5000,0,5000,2020,3,2,U,Y,V,64.0,5000.0,Vacant Land,22,RE-2 SCHOOL DIST,18545,18545,0,18545,3.709,VACANT LAND
R0057013,100.0,,,725793,26000,0,26000,2020,5,28,U,Y,V,73.0,52358.8,Vacant Land,13,RE-1 SCHOOL DIST,32563,32563,228503,261066,4.986095938027609,VACANT LAND
R0008334,100.0,,,726286,3000,0,3000,2020,6,11,U,Y,V,17.0,3000.0,Vacant Land,13,RE-1 SCHOOL DIST,25393,25393,0,25393,8.464333333333334,VACANT LAND
R0008991,100.0,,,726579,2511,0,2511,2020,6,15,U,Y,V,985.0,2511.0,Vacant Land,13,RE-1 SCHOOL DIST,15234,15234,0,15234,6.066905615292712,VACANT LAND
R0016289,100.0,,,736143,10000,0,10000,2021,3,17,Q,Y,V,,18000.0,Vacant Land,37,RE-2 SCHOOL DIST,19537,19537,0,19537,1.085388888888889,VACANT LAND
R0009122,100.0,,,736305,20000,0,20000,2021,3,22,Q,Y,V,975.0,31200.0,Vacant Land,13,RE-1 SCHOOL DIST,36454,36454,0,36454,1.1683974358974358,VACANT LAND
R0007598,100.0,,,733733,17000,0,17000,2021,1,7,Q,Y,V,975.0,24990.0,Vacant Land,13,RE-1 SCHOOL DIST,44860,44860,0,44860,1.7951180472188875,VACANT LAND
R0010126,100.0,,,705861,4000,0,4000,2018,4,5,U,Y,V,17.0,4000.0,Vacant Land,22,RE-2 SCHOOL DIST,12956,12956,399156,412112,103.028,VACANT LAND
R0005420,100.0,,,706083,7898,0,7898,2018,4,12,U,Y,V,103.0,19823.98,Vacant Land,14,RE-1 SCHOOL DIST,21342,21342,473447,494789,24.959115172634355,VACANT LAND
R0018608,100.0,,,706112,8500,0,8500,2018,4,14,U,Y,V,103.0,8500.0,Vacant Land,39,RE-2 SCHOOL DIST,29067,29067,412334,441401,51.929529411764705,VACANT LAND
R0024348,100.0,,,706332,4300,0,4300,2018,4,25,U,Y,V,103.0,4300.0,Vacant Land,80,RE-2 SCHOOL DIST,24100,24100,547757,571857,132.99,VACANT LAND
R0012112,100.0,,,706586,40000,0,40000,2018,3,26,U,Y,V,989.0,42000.0,Vacant Land,37,RE-2 SCHOOL DIST,56921,56921,397012,453933,10.80792857142857,VACANT LAND
R0005321,100.0,,,742297,26000,0,26000,2021,8,31,U,Y,V,641.0,26000.0,Vacant Land,14,RE-1 SCHOOL DIST,11982,11982,0,11982,0.46084615384615385,VACANT LAND
R0016223,100.0,,,742297,26000,0,26000,2021,8,31,U,Y,V,641.0,26000.0,Vacant Land,37,RE-2 SCHOOL DIST,13712,13712,0,13712,0.5273846153846153,VACANT LAND
R0019545,100.0,,,742632,5000,0,5000,2021,9,2,Q,Y,V,,6600.0,Vacant Land,40,RE-1 SCHOOL DIST,16217,16217,0,16217,2.457121212121212,VACANT LAND
R0008748,100.0,,,736917,4000,0,4000,2021,2,28,U,Y,V,989.0,4000.0,Vacant Land,13,RE-1 SCHOOL DIST,15978,15978,0,15978,3.9945,VACANT LAND
R0015876,100.0,,,737184,25000,0,25000,2021,4,14,Q,Y,V,987.0,34500.0,Vacant Land,85,RE-2 SCHOOL DIST,34980,34980,0,34980,1.0139130434782608,VACANT LAND
R0009029,100.0,,,703847,8000,0,8000,2018,1,16,U,Y,V,70.0,8000.0,Vacant Land,13,RE-1 SCHOOL DIST,22835,22835,0,22835,2.854375,VACANT LAND
R0005818,100.0,,,699278,33500,0,33500,2017,7,13,Q,Y,V,,67000.0,Vacant Land,14,RE-1 SCHOOL DIST,69411,69411,0,69411,1.0359850746268657,VACANT LAND
R0004872,100.0,,,740734,7800,0,7800,2021,7,16,U,Y,V,989.0,7800.0,Vacant Land,14,RE-1 SCHOOL DIST,21071,21071,0,21071,2.7014102564102562,VACANT LAND
R0004668,100.0,,,723954,4200,0,4200,2020,3,12,Q,Y,V,,10080.0,Vacant Land,14,RE-1 SCHOOL DIST,20315,20315,0,20315,2.015376984126984,VACANT LAND
R0008323,100.0,,,724219,7000,0,7000,2020,3,16,U,Y,V,101.0,7000.0,Vacant Land,13,RE-1 SCHOOL DIST,35198,35198,0,35198,5.0282857142857145,VACANT LAND
R0005246,100.0,,,724767,21400,0,21400,2020,4,14,Q,Y,V,,50290.0,Vacant Land,14,RE-1 SCHOOL DIST,46136,46136,0,46136,0.9173990853052296,VACANT LAND
R0005215,100.0,,,724846,10500,0,10500,2020,4,14,U,Y,V,64.0,10500.0,Vacant Land,14,RE-1 SCHOOL DIST,22677,22677,0,22677,2.1597142857142857,VACANT LAND
R0005336,100.0,,,724846,10500,0,10500,2020,4,14,U,Y,V,64.0,10500.0,Vacant Land,14,RE-1 SCHOOL DIST,25506,25506,0,25506,2.4291428571428573,VACANT LAND
R0017057,100.0,,,738672,25995,0,25995,2021,5,20,Q,Y,V,74.0,34833.3,Vacant Land,31,RE-2 SCHOOL DIST,41810,41810,0,41810,1.20028822994089,VACANT LAND
R0015949,100.0,,,739140,25000,0,25000,2021,6,4,U,Y,V,17.0,25000.0,Vacant Land,85,RE-2 SCHOOL DIST,33610,33610,0,33610,1.3444,VACANT LAND
R0009818,100.0,,,730454,7000,0,7000,2020,10,8,U,Y,V,81.0,7000.0,Vacant Land,13,RE-1 SCHOOL DIST,19295,19295,0,19295,2.7564285714285712,VACANT LAND
R0005236,100.0,,,731579,8200,0,8200,2020,11,3,Q,Y,V,,16646.0,Vacant Land,14,RE-1 SCHOOL DIST,16778,16778,0,16778,1.0079298329929112,VACANT LAND
R0016524,100.0,,,737294,520000,0,520000,2021,4,16,U,Y,I,64.0,520000.0,Vacant Land,33,RE-2 SCHOOL DIST,28013,28013,0,28013,0.053871153846153846,VACANT LAND
R0008119,100.0,,,737367,16500,0,16500,2021,4,16,Q,Y,V,,22770.0,Vacant Land,13,RE-1 SCHOOL DIST,33542,33542,0,33542,1.473078612209047,VACANT LAND
R0019119,100.0,,,738273,165000,0,165000,2021,5,14,Q,Y,V,,275550.0,Vacant Land,39,RE-2 SCHOOL DIST,274737,274737,0,274737,0.9970495372890582,VACANT LAND
R0005836,100.0,,,738392,25000,0,25000,2021,5,17,U,Y,V,975.0,25000.0,Vacant Land,14,RE-1 SCHOOL DIST,41552,41552,0,41552,1.66208,VACANT LAND
R0008692,100.0,,,739660,18000,0,18000,2021,6,17,U,Y,V,989.0,18000.0,Vacant Land,13,RE-1 SCHOOL DIST,54615,54615,431173,485788,26.988222222222223,VACANT LAND
R0015313,100.0,,,739836,29000,0,29000,2021,6,25,U,Y,V,64.0,29000.0,Vacant Land,30,RE-2 SCHOOL DIST,14347,14347,0,14347,0.4947241379310345,VACANT LAND
R0015314,100.0,,,739836,29000,0,29000,2021,6,25,U,Y,V,64.0,29000.0,Vacant Land,30,RE-2 SCHOOL DIST,14347,14347,0,14347,0.4947241379310345,VACANT LAND
R0009617,100.0,,,731998,9000,0,9000,2020,11,17,Q,Y,V,,15660.0,Vacant Land,13,RE-1 SCHOOL DIST,18670,18670,0,18670,1.1922094508301404,VACANT LAND
R0001987,100.0,,,732044,53500,0,53500,2020,10,21,U,Y,V,73.0,53500.0,Vacant Land,10,RE-1 SCHOOL DIST,37652,37652,0,37652,0.7037757009345794,VACANT LAND
R0004797,100.0,,,732681,3500,0,3500,2020,12,8,U,Y,V,975.0,3500.0,Vacant Land,14,RE-1 SCHOOL DIST,18848,18848,0,18848,5.385142857142857,VACANT LAND
R0008867,100.0,,,725284,13500,0,13500,2020,5,9,U,Y,V,989.0,13500.0,Vacant Land,13,RE-1 SCHOOL DIST,18725,18725,0,18725,1.387037037037037,VACANT LAND
R0015372,100.0,,,725300,9580,0,9580,2020,5,8,U,Y,V,64.0,9580.0,Vacant Land,30,RE-2 SCHOOL DIST,4880,4880,0,4880,0.5093945720250522,VACANT LAND
R0015376,100.0,,,725300,9580,0,9580,2020,5,8,U,Y,V,64.0,9580.0,Vacant Land,30,RE-2 SCHOOL DIST,12803,12803,0,12803,1.3364300626304801,VACANT LAND
R0015377,100.0,,,725300,9580,0,9580,2020,5,8,U,Y,V,64.0,9580.0,Vacant Land,30,RE-2 SCHOOL DIST,12368,12368,0,12368,1.2910229645093945,VACANT LAND
R0024312,100.0,,,725328,5738,0,5738,2020,5,11,U,Y,V,985.0,5738.0,Vacant Land,80,RE-2 SCHOOL DIST,25524,25524,0,25524,4.448239804810038,VACANT LAND
R0020564,100.0,,,725505,5000,0,5000,2020,5,8,U,Y,V,64.0,5000.0,Vacant Land,40,RE-1 SCHOOL DIST,15648,15648,0,15648,3.1296,VACANT LAND
R0057156,100.0,,,725505,5000,0,5000,2020,5,8,U,Y,V,64.0,5000.0,Vacant Land,40,RE-1 SCHOOL DIST,10240,10240,0,10240,2.048,VACANT LAND
R0004678,100.0,,,725695,12000,0,12000,2020,5,22,U,Y,V,17.0,12000.0,Vacant Land,14,RE-1 SCHOOL DIST,20798,20798,460665,481463,40.121916666666664,VACANT LAND
R0024223,100.0,,,725906,16500,0,16500,2020,6,2,Q,Y,V,975.0,26730.0,Vacant Land,80,RE-2 SCHOOL DIST,28666,28666,0,28666,1.0724279835390946,VACANT LAND
R0019845,100.0,,,726139,30000,0,30000,2020,6,6,U,Y,V,661.0,30000.0,Vacant Land,40,RE-1 SCHOOL DIST,15936,15936,838,16774,0.5591333333333334,VACANT LAND
R0005018,100.0,,,727185,28000,0,28000,2020,7,7,Q,Y,V,,61880.0,Vacant Land,14,RE-1 SCHOOL DIST,53390,53390,0,53390,0.8627989657401423,VACANT LAND
R0010441,100.0,,,727289,145000,0,145000,2020,7,14,U,Y,V,64.0,145000.0,Vacant Land,24,RE-2 SCHOOL DIST,91054,91054,0,91054,0.6279586206896551,VACANT LAND
R0010442,100.0,,,727289,145000,0,145000,2020,7,14,U,Y,V,64.0,145000.0,Vacant Land,24,RE-2 SCHOOL DIST,96051,96051,0,96051,0.6624206896551724,VACANT LAND
R0020596,100.0,,,727697,1007,0,1007,2020,6,29,U,Y,V,985.0,1007.0,Vacant Land,40,RE-1 SCHOOL DIST,11528,11528,0,11528,11.447864945382324,VACANT LAND
R0018229,100.0,,,737171,225000,0,225000,2021,4,12,U,Y,V,73.0,225000.0,Vacant Land,62,RE-2 SCHOOL DIST,490402,490402,593349,1083751,4.816671111111111,VACANT LAND
R0008403,100.0,,,734449,7000,0,7000,2021,1,29,Q,Y,V,,11550.0,Vacant Land,13,RE-1 SCHOOL DIST,14507,14507,0,14507,1.256017316017316,VACANT LAND
R0006158,100.0,,,734847,70000,0,70000,2021,2,10,U,Y,V,101.0,70000.0,Vacant Land,14,RE-1 SCHOOL DIST,53018,53018,437760,490778,7.011114285714286,VACANT LAND
R0057155,100.0,,,735478,120000,0,120000,2021,2,26,Q,Y,V,,172800.0,Vacant Land,30,RE-2 SCHOOL DIST,190515,190515,0,190515,1.1025173611111112,VACANT LAND
R0054424,100.0,,,736137,95000,0,95000,2021,3,16,U,Y,V,17.0,95000.0,Vacant Land,62,RE-2 SCHOOL DIST,150656,150656,0,150656,1.5858526315789474,VACANT LAND
R0013182,100.0,,,722254,43000,0,43000,2020,1,3,Q,Y,V,,74820.0,Vacant Land,37,RE-2 SCHOOL DIST,81464,81464,0,81464,1.0887997861534349,VACANT LAND
R0029691,100.0,,,722554,10000,0,10000,2020,1,10,U,Y,V,17.0,9500.0,Vacant Land,40,RE-1 SCHOOL DIST,21576,21576,0,21576,2.271157894736842,VACANT LAND
R0012216,100.0,,,722934,19500,0,19500,2020,1,22,Q,Y,V,,33930.0,Vacant Land,37,RE-2 SCHOOL DIST,24237,24237,0,24237,0.7143236074270557,VACANT LAND
R0013086,100.0,,,700858,275000,0,275000,2017,9,8,U,Y,V,20.0,310750.0,Vacant Land,30,RE-2 SCHOOL DIST,393322,393322,0,393322,1.2657184231697507,VACANT LAND
R0009762,100.0,,,740978,35000,0,35000,2021,7,23,Q,Y,V,,48300.0,Vacant Land,13,RE-1 SCHOOL DIST,30083,30083,0,30083,0.6228364389233955,VACANT LAND
R0008771,100.0,,,741116,2500,0,2500,2021,7,13,U,Y,V,57.0,2500.0,Vacant Land,13,RE-1 SCHOOL DIST,18796,18796,0,18796,7.5184,VACANT LAND
